left-profile	left-symbol	right-profile	right-symbol	kind	left-member	right-member
vanilla	order/encounter84b	gs5r3	order/quest/encounter84b	encounter	gs\dungeons\order\encounter84b.gs	gs\dungeons\order\quest\encounter84b.gs
vanilla	order/encounter85	gs5r3	order/quest/encounter85	encounter	gs\dungeons\order\encounter85.gs	gs\dungeons\order\quest\encounter85.gs
vanilla	order/encounter86	gs5r3	order/quest/encounter86	encounter	gs\dungeons\order\encounter86.gs	gs\dungeons\order\quest\encounter86.gs
vanilla	order/encounter87	gs5r3	order/quest/encounter87	encounter	gs\dungeons\order\encounter87.gs	gs\dungeons\order\quest\encounter87.gs
vanilla	order/encounter88	gs5r3	order/quest/encounter88	encounter	gs\dungeons\order\encounter88.gs	gs\dungeons\order\quest\encounter88.gs
vanilla	order/encounter89	gs5r3	order/quest/encounter89	encounter	gs\dungeons\order\encounter89.gs	gs\dungeons\order\quest\encounter89.gs
vanilla	order/encounter91a	gs5r3	order/quest/encounter91a	encounter	gs\dungeons\order\encounter91a.gs	gs\dungeons\order\quest\encounter91a.gs
vanilla	order/encounter92	gs5r3	order/quest/encounter92	encounter	gs\dungeons\order\encounter92.gs	gs\dungeons\order\quest\encounter92.gs
vanilla	order/encounter93	gs5r3	order/quest/encounter93	encounter	gs\dungeons\order\encounter93.gs	gs\dungeons\order\quest\encounter93.gs
vanilla	order/encounter94	gs5r3	order/quest/encounter94	encounter	gs\dungeons\order\encounter94.gs	gs\dungeons\order\quest\encounter94.gs
vanilla	order/encounter97	gs5r3	order/quest/encounter97	encounter	gs\dungeons\order\encounter97.gs	gs\dungeons\order\quest\encounter97.gs
vanilla	order/encounter98	gs5r3	order/quest/encounter98	encounter	gs\dungeons\order\encounter98.gs	gs\dungeons\order\quest\encounter98.gs
vanilla	order/guenver	gs5r3	order/quest/guenver	encounter	gs\dungeons\order\guenver.gs	gs\dungeons\order\quest\guenver.gs
patch302	death/altosac	gs5r3	death/quest/altosac	encounter	gs\dungeons\death\altosac.gs	gs\dungeons\death\quest\altosac.gs
patch302	death/deathgt	gs5r3	death/quest/deathgt	encounter	gs\dungeons\death\deathgt.gs	gs\dungeons\death\quest\deathgt.gs
patch302	death/encounter2	gs5r3	death/quest/encounter2	encounter	gs\dungeons\death\encounter2.gs	gs\dungeons\death\quest\encounter2.gs
patch302	death/encounter4b	gs5r3	death/quest/encounter4b	encounter	gs\dungeons\death\encounter4b.gs	gs\dungeons\death\quest\encounter4b.gs
patch302	death/encounter4c	gs5r3	death/quest/encounter4c	encounter	gs\dungeons\death\encounter4c.gs	gs\dungeons\death\quest\encounter4c.gs
patch302	death/encounter5	gs5r3	death/quest/encounter5	encounter	gs\dungeons\death\encounter5.gs	gs\dungeons\death\quest\encounter5.gs
patch302	earth/barrow2	gs5r3	earth/quest/barrow2	encounter	gs\dungeons\earth\barrow2.gs	gs\dungeons\earth\quest\barrow2.gs
patch302	earth/encounter1	gs5r3	earth/quest/encounter1	encounter	gs\dungeons\earth\encounter1.gs	gs\dungeons\earth\quest\encounter1.gs
patch302	earth/encounter10	gs5r3	earth/quest/encounter10	encounter	gs\dungeons\earth\encounter10.gs	gs\dungeons\earth\quest\encounter10.gs
patch302	earth/encounter11	gs5r3	earth/quest/encounter11	encounter	gs\dungeons\earth\encounter11.gs	gs\dungeons\earth\quest\encounter11.gs
patch302	earth/encounter14	gs5r3	earth/quest/encounter14	encounter	gs\dungeons\earth\encounter14.gs	gs\dungeons\earth\quest\encounter14.gs
patch302	earth/encounter15	gs5r3	earth/quest/encounter15	encounter	gs\dungeons\earth\encounter15.gs	gs\dungeons\earth\quest\encounter15.gs
patch302	earth/encounter16	gs5r3	earth/quest/encounter16	encounter	gs\dungeons\earth\encounter16.gs	gs\dungeons\earth\quest\encounter16.gs
patch302	earth/encounter17	gs5r3	earth/quest/encounter17	encounter	gs\dungeons\earth\encounter17.gs	gs\dungeons\earth\quest\encounter17.gs
patch302	earth/encounter18	gs5r3	earth/quest/encounter18	encounter	gs\dungeons\earth\encounter18.gs	gs\dungeons\earth\quest\encounter18.gs
patch302	earth/encounter19	gs5r3	earth/quest/encounter19	encounter	gs\dungeons\earth\encounter19.gs	gs\dungeons\earth\quest\encounter19.gs
patch302	earth/encounter2	gs5r3	earth/quest/encounter2	encounter	gs\dungeons\earth\encounter2.gs	gs\dungeons\earth\quest\encounter2.gs
patch302	earth/encounter20	gs5r3	earth/quest/encounter20	encounter	gs\dungeons\earth\encounter20.gs	gs\dungeons\earth\quest\encounter20.gs
patch302	earth/encounter21	gs5r3	earth/quest/encounter21	encounter	gs\dungeons\earth\encounter21.gs	gs\dungeons\earth\quest\encounter21.gs
patch302	earth/encounter22	gs5r3	earth/quest/encounter22	encounter	gs\dungeons\earth\encounter22.gs	gs\dungeons\earth\quest\encounter22.gs
patch302	earth/encounter23	gs5r3	earth/quest/encounter23	encounter	gs\dungeons\earth\encounter23.gs	gs\dungeons\earth\quest\encounter23.gs
patch302	earth/encounter24	gs5r3	earth/quest/encounter24	encounter	gs\dungeons\earth\encounter24.gs	gs\dungeons\earth\quest\encounter24.gs
patch302	earth/encounter25	gs5r3	earth/quest/encounter25	encounter	gs\dungeons\earth\encounter25.gs	gs\dungeons\earth\quest\encounter25.gs
patch302	earth/encounter26	gs5r3	earth/quest/encounter26	encounter	gs\dungeons\earth\encounter26.gs	gs\dungeons\earth\quest\encounter26.gs
patch302	earth/encounter27	gs5r3	earth/quest/encounter27	encounter	gs\dungeons\earth\encounter27.gs	gs\dungeons\earth\quest\encounter27.gs
patch302	earth/encounter28	gs5r3	earth/quest/encounter28	encounter	gs\dungeons\earth\encounter28.gs	gs\dungeons\earth\quest\encounter28.gs
patch302	earth/encounter29	gs5r3	earth/quest/encounter29	encounter	gs\dungeons\earth\encounter29.gs	gs\dungeons\earth\quest\encounter29.gs
patch302	earth/encounter3	gs5r3	earth/quest/encounter3	encounter	gs\dungeons\earth\encounter3.gs	gs\dungeons\earth\quest\encounter3.gs
patch302	earth/encounter30	gs5r3	earth/quest/encounter30	encounter	gs\dungeons\earth\encounter30.gs	gs\dungeons\earth\quest\encounter30.gs
patch302	earth/encounter31	gs5r3	earth/quest/encounter31	encounter	gs\dungeons\earth\encounter31.gs	gs\dungeons\earth\quest\encounter31.gs
patch302	earth/encounter32	gs5r3	earth/quest/encounter32	encounter	gs\dungeons\earth\encounter32.gs	gs\dungeons\earth\quest\encounter32.gs
patch302	earth/encounter4	gs5r3	earth/quest/encounter4	encounter	gs\dungeons\earth\encounter4.gs	gs\dungeons\earth\quest\encounter4.gs
patch302	earth/encounter5	gs5r3	earth/quest/encounter5	encounter	gs\dungeons\earth\encounter5.gs	gs\dungeons\earth\quest\encounter5.gs
patch302	earth/encounter6	gs5r3	earth/quest/encounter6	encounter	gs\dungeons\earth\encounter6.gs	gs\dungeons\earth\quest\encounter6.gs
patch302	earth/encounter8	gs5r3	earth/quest/encounter8	encounter	gs\dungeons\earth\encounter8.gs	gs\dungeons\earth\quest\encounter8.gs
patch302	earth/encounter9	gs5r3	earth/quest/encounter9	encounter	gs\dungeons\earth\encounter9.gs	gs\dungeons\earth\quest\encounter9.gs
patch302	earth/genbrew	gs5r3	earth/quest/genbrew	encounter	gs\dungeons\earth\genbrew.gs	gs\dungeons\earth\quest\genbrew.gs
patch302	earth/gencrys	gs5r3	earth/quest/gencrys	encounter	gs\dungeons\earth\gencrys.gs	gs\dungeons\earth\quest\gencrys.gs
patch302	earth/gengold	gs5r3	earth/quest/gengold	encounter	gs\dungeons\earth\gengold.gs	gs\dungeons\earth\quest\gengold.gs
patch302	earth/orccaves2	gs5r3	earth/quest/orccaves2	encounter	gs\dungeons\earth\orccaves2.gs	gs\dungeons\earth\quest\orccaves2.gs
patch302	earth/orccaves3	gs5r3	earth/quest/orccaves3	encounter	gs\dungeons\earth\orccaves3.gs	gs\dungeons\earth\quest\orccaves3.gs
patch302	earth/swampcaves	gs5r3	earth/quest/swampcaves	encounter	gs\dungeons\earth\swampcaves.gs	gs\dungeons\earth\quest\swampcaves.gs
patch302	fire/encounter2	gs5r3	fire/quest/encounter2	encounter	gs\dungeons\fire\encounter2.gs	gs\dungeons\fire\quest\encounter2.gs
