name	uses	class	broad-candidate	operator-entry-point
eventalarm	23	native-host-call	yes	0x0040cd70
eventunit	2	script-definition	no	-
evil_tone?	3	script-definition	no	-
ewatk	1	script-definition	no	-
ewatkack_1	3	script-definition	no	-
ewatkack_2	1	script-definition	no	-
ewdie	1	script-definition	no	-
ewm1atk	1	script-definition	no	-
ewm1atkack_1	1	script-definition	no	-
ewm1die	1	script-definition	no	-
ewm1mov	1	script-definition	no	-
ewm1movack_1	1	script-definition	no	-
ewm1selack_1	1	script-definition	no	-
ewmiatk	1	script-definition	no	-
ewmiatkack_1	1	script-definition	no	-
ewmidie	1	script-definition	no	-
ewmimov	1	script-definition	no	-
ewmimovack_1	1	script-definition	no	-
ewmiselack_1	1	script-definition	no	-
ewmov	2	script-definition	no	-
ewmovack_1	3	script-definition	no	-
ewmovack_2	1	script-definition	no	-
ewselack_1	3	script-definition	no	-
ewselack_2	1	script-definition	no	-
ex	2	script-definition	no	-
exame_post_combat_spells	1	script-definition	no	-
excalibr	1	script-definition	no	-
excg	4	unclassified-residue	no	-
exch	5413	language-primitive	yes	0x004ca7e0
exec	428	script-definition	no	0x004ca740
execute_targeting_procedure	3	script-definition	no	-
executeprisonerproc	1	native-host-call	yes	0x004e2ab0
executeprisoners	11	native-host-call	yes	0x004c3690
existing_game_setup	1	script-definition	no	-
existing_target_stack	5	script-definition	no	-
exit	257	language-primitive	yes	0x004c9cb0
exit_build_building	2	script-definition	no	-
exit_button	5	script-definition	no	-
exit_button_frame	3	script-definition	no	-
exit_debrief_button	2	script-definition	no	-
exit_game_button	2	unclassified-residue	no	-
exit_id	11	script-definition	no	-
exit_intel_button	3	script-definition	no	-
exit_key	2	script-definition	no	-
exit_meter_filename	3	script-definition	no	-
exitapp	11	native-host-call	yes	0x004dee90
exitapplication	1	script-definition	no	-
exitmessageproc	1	native-host-call	yes	0x004b5600
exitnetgameselscreen	1	native-host-call	yes	0x004b5d50
exitnetpikfaithscreen	4	native-host-call	yes	0x004b5d20
exitnetspscreen	9	native-host-call	yes	0x004b5ce0
exp	7	script-definition	no	-
exp_crystals_str	4	script-definition	no	-
exp_food_str	4	script-definition	no	-
exp_gold_str	4	script-definition	no	-
exp_level_unit_max	6	script-definition	no	-
exp_level_unit_per_turn	6	script-definition	no	-
exp_max	4	script-definition	no	-
exp_per_turn	4	script-definition	no	-
exp_pts	14	script-definition	no	-
expbar_item	2	script-definition	no	-
expect_units	2	script-definition	no	-
expense_edit	1	script-definition	no	-
expense_rating	2	script-definition	no	-
expense_text_item	2	script-definition	no	-
expense_txt_editbox	2	unclassified-residue	no	-
experience_bground_dd	35	unclassified-residue	no	-
experience_boxes	3	script-definition	no	-
experience_id	14	script-definition	no	-
experience_level_string	1	script-definition	no	-
experience_price	3	script-definition	no	-
experience_proc	1	script-definition	no	-
experiencearray	6	script-definition	no	-
explore_armies_desired	2	script-definition	no	-
explore_only?	1	script-definition	no	-
express_button	2	script-definition	no	-
extra	3	script-definition	no	-
extra_active_ai_table	2	script-definition	no	-
extra_crystals	5	script-definition	no	-
extra_food	5	script-definition	no	-
extra_gold	5	script-definition	no	-
extract_visible_index	2	script-definition	no	-
ey	2	script-definition	no	-
eyes_of_the_hawk	4	script-definition	no	-
f	209	script-definition	no	-
f1	56	script-definition	no	-
f1atk	1	script-definition	no	-
f1atkack_1	3	script-definition	no	-
f1atkack_2	1	script-definition	no	-
f1die	1	script-definition	no	-
f1mov	1	script-definition	no	-
f1movack_1	3	script-definition	no	-
f1movack_2	1	script-definition	no	-
f1selack_1	1	script-definition	no	-
f2	17	script-definition	no	-
f2atk	1	script-definition	no	-
f2atkack_1	5	script-definition	no	-
f2atkack_2	1	script-definition	no	-
f2atkack_3	1	script-definition	no	-
f2die	1	script-definition	no	-
f2mov	1	script-definition	no	-
f2movack_1	3	script-definition	no	-
f2movack_2	1	script-definition	no	-
f2rng	1	script-definition	no	-
f2selack_1	3	script-definition	no	-
f2selack_2	1	script-definition	no	-
f3atk	1	script-definition	no	-
f3atkack_1	1	script-definition	no	-
f3die	1	script-definition	no	-
f3mov	1	script-definition	no	-
f3movack_1	1	script-definition	no	-
f3rng	1	script-definition	no	-
f3selack_1	1	script-definition	no	-
f4atk	1	script-definition	no	-
f4atkack_1	3	script-definition	no	-
f4atkack_2	1	script-definition	no	-
f4die	1	script-definition	no	-
f4mov	1	script-definition	no	-
f4movack_1	3	script-definition	no	-
f4movack_2	1	script-definition	no	-
f4selack_1	3	script-definition	no	-
f4selack_2	1	script-definition	no	-
f5atk	1	script-definition	no	-
f5atkack_1	2	script-definition	no	-
f5atkack_2	1	script-definition	no	-
f5die	1	script-definition	no	-
f5mov	1	script-definition	no	-
f5movack_1	2	script-definition	no	-
f5movack_2	1	script-definition	no	-
f5rng	1	script-definition	no	-
f5selack_1	2	script-definition	no	-
f5selack_2	1	script-definition	no	-
f_rally	2	script-definition	no	-
f_type	1	script-definition	no	-
fa	13	script-definition	no	-
facingtable	4	script-definition	no	-
factor	13	script-definition	no	-
factor2	2	unclassified-residue	no	-
fadeoutmusic	22	native-host-call	yes	0x004796b0
fadood	13	unclassified-residue	no	-
faerie_ring	3	script-definition	no	-
faith	82	script-definition	no	-
faith_affinity	1	script-definition	no	-
faith_available_stack	10	script-definition	no	-
