name	entry_point	behaviour	boundary	instructions	decoded_extent_bytes	arity	arity_candidates	nominal_arity	declared_arity	arity_agrees	loop_carried_operands	operand_state_cap_hit	helper_pops	helper_pushes	inline_pops	inline_pushes	calls	call_targets	tail_calls	indirect_calls	virtual_call_slots	globals_read	constant_refs	globals_written	pointer_write_addresses	global_addresses	constant_addresses	string_refs	import_kinds_at_depth	state_write_depth	calls_mutating_method	direct_imports
costbuildbuilding	0x00445930	reads-state	complete	187	540	-	1,2,3	3	1	NO	no	no	3	4	0	4	8	0x4026a0,0x404ab0,0x40adb0,0x41d1d0,0x43d300,0x4d41c0,0x4d4550,0x53a090	0	0	-	1	1	0	-	0x5cd31c	0x5567e8	1	file-io@4,archive@4,memory@5,thread@3,window-input@2,time@2,other@2	2	yes	-
count	0x004c9cc0	operand-only	complete	24	24459	0	0	0	0	yes	no	no	0	0	0	1	1	0x4d4550	0	0	-	0	0	0	-	-	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
countunittypes	0x005243d0	reads-state	complete	58	10	0	0	0	0	yes	no	no	0	0	0	0	1	0x4fbed0	0	0	-	2	0	0	-	0x5ae974,0x5cd2ec	-	0	-	-	no	-
cpr	0x004264d0	mutates-state	complete	59	190	1	1	1	1	yes	no	no	1	0	0	0	3	0x41be40,0x41efa0,0x525f10	0	0	-	4	0	2	-	0x5a7d8c,0x5a8078,0x5aa7d4,0x5aadb0,0x5ae8a4,0x5ae8a8	-	0	file-io@6,archive@3,memory@6,thread@5,graphics@3,window-input@3,time@3,other@3	0	no	-
create3dmap	0x004e07d0	file-or-resource-io	complete	2	10	0	0	0	0	yes	no	no	0	0	0	0	0	0x519a10	1	0	-	1	0	0	-	0x5876d0	-	0	archive@1	-	yes	-
createartifact	0x0042a730	reads-state	complete	160	472	-	0,1,2,3	3	3	yes	no	no	1	0	2	0	10	0x4026a0,0x404ab0,0x41be40,0x427b80,0x427d10,0x428080,0x4282a0,0x42d410,0x4d41c0,0x4d4550	0	0	-	1	2	0	-	0x5cd340	0x555df8,0x555e08	2	file-io@5,archive@2,memory@5,thread@4,window-input@2,time@2,other@2	1	yes	-
createartifactnow	0x0042a910	reads-state	complete	172	516	-	0,1,2,3	3	3	yes	no	no	1	0	2	1	10	0x4026a0,0x404ab0,0x41be40,0x427b80,0x427d10,0x428080,0x4282a0,0x42d410,0x4d41c0,0x4d4550	0	0	-	1	2	0	-	0x5cd340	0x555df8,0x555e08	2	file-io@5,archive@2,memory@5,thread@4,window-input@2,time@2,other@2	1	yes	-
createbuildinginfolist	0x0043c5f0	file-or-resource-io	complete	55	176	-	0,1	1	1	yes	no	no	0	0	1	0	4	0x43c1c0,0x4d41c0,0x4d4550,0x5394a0	0	0	-	1	1	0	-	0x5cd310	0x55655c	1	file-io@5,archive@1,memory@5,thread@4,window-input@2,time@2,other@2	2	yes	-
createbuildingrequirementslist	0x0043d3e0	file-or-resource-io	complete	55	176	-	0,1	1	1	yes	no	no	0	0	1	0	4	0x43d230,0x4d41c0,0x4d4550,0x5394a0	0	0	-	1	1	0	-	0x5cd31c	0x5565b4	1	file-io@5,archive@1,memory@5,thread@4,window-input@2,time@2,other@2	2	yes	-
createghost	0x0047e5d0	reads-state	complete	286	816	-	1,2,3,4,5,6,7,8	8	6	NO	no	no	4	0	4	0	8	0x4026a0,0x404ab0,0x40adb0,0x41bf10,0x47cc00,0x4a7d50,0x4d41c0,0x4d4550	0	1	-	1	1	0	-	0x5ae958	0x55b130	1	file-io@5,archive@3,memory@5,thread@4,window-input@2,time@2,other@2	2	yes	-
createingamemessage	0x004b2e50	reads-state	complete	52	168	-	0,1	1	1	yes	no	no	0	0	1	0	3	0x4b28b0,0x4d4550,0x5394a0	0	0	-	2	0	0	-	0x5aa12c,0x5aa710	-	0	file-io@5,archive@2,memory@6,thread@4,window-input@3,time@3,other@3	1	yes	-
createnetworkgame	0x004b8350	reads-state	complete	75	235	-	0,1	1	1	yes	no	no	0	0	1	1	1	0x4d4550	0	1	0x5d1e84+0x8	1	0	0	-	0x5d1e84	-	0	file-io@5,archive@5,memory@6,thread@4,window-input@3,time@3,other@3	3	no	-
createtemparmy	0x0044cd60	mutates-state	complete	137	435	-	0,1	1	1	yes	no	no	0	0	1	1	9	0x4026a0,0x404ab0,0x411610,0x482ac0,0x4d4550,0x505110,0x533864,0x5394d0,0x539610	0	2	-	5	1	1	-	0x556168,0x5572ec,0x55b1b0,0x584ae8,0x5aa12c,0x5aa12c	0x555130	1	file-io@1,archive@0,memory@3,thread@2,window-input@3,time@3,other@3	0	yes	STORM.dll!#401
